,elevation,id,lat,lon
361,2177.0,663794042,46.7334926,11.9578976
362,2027.0,663794043,46.7310784,11.9589805
363,2238.0,663794044,46.7368313,11.955651
364,2238.0,663794045,46.7364892,11.9557702
365,2226.0,663794047,46.7374991,11.9563226
366,2238.0,663794048,46.7372184,11.9558527
367,2226.0,663794049,46.7360043,11.9563222
368,2267.0,663794054,46.739224,11.9576554
369,2237.0,663794055,46.739747,11.95775
370,2237.0,663794056,46.7404287,11.9577244
371,2237.0,663794057,46.7410113,11.9575211
372,2237.0,663794058,46.7415374,11.9571346
373,2149.0,663794059,46.7422253,11.9569103
374,2149.0,663794060,46.7428852,11.9563819
375,2076.0,663794061,46.74412,11.9557926
376,2076.0,663794062,46.7446622,11.9548212
377,2033.0,663794063,46.7444261,11.9539147
378,2076.0,663794065,46.7445791,11.9556446
379,2076.0,663794066,46.744679,11.9552478
380,2076.0,663794067,46.7452345,11.9562148
381,2005.0,663794068,46.7467384,11.9564712
382,2005.0,663794069,46.7477043,11.9565984
383,1870.0,663794070,46.7497796,11.9537916
384,1853.0,663794071,46.75056,11.9542298
385,1853.0,663794072,46.7509407,11.9542414
386,1853.0,663794073,46.7514666,11.9544222
387,1768.0,663794074,46.7522117,11.9555635
388,1768.0,663794078,46.7524614,11.9559418
389,1775.0,663794079,46.752535,11.9564321
390,1775.0,663794080,46.7528147,11.9576945
391,1775.0,663794081,46.7540888,11.9583046
392,1775.0,663794082,46.7535287,11.958042
393,1282.0,663794083,46.7633789,11.9581149
394,1424.0,663794084,46.7620399,11.9590963
395,1424.0,663794085,46.7618504,11.9596325
396,1424.0,663794086,46.7613958,11.960725
397,1133.0,663794087,46.7656415,11.9530826
398,1324.0,663802708,46.7055508,11.9375496
399,1357.0,663802709,46.7078422,11.9425508
400,1402.0,663802710,46.7084002,11.9442643
401,1474.0,663802711,46.7111998,11.9510648
402,1686.0,663802713,46.7158062,11.9604145
403,1807.0,663802714,46.7183414,11.9628838
404,1798.0,663802716,46.7193106,11.9639525
405,1798.0,663802719,46.7193674,11.963904
406,1798.0,663802720,46.7197086,11.9638921
407,1798.0,663802721,46.7194156,11.9634476
408,1721.0,663802722,46.7218443,11.9618403
409,1721.0,663802723,46.7218458,11.9610731
410,1685.0,663802725,46.7218524,11.9603264
411,1748.0,663802726,46.7236155,11.9635311
412,1748.0,663802727,46.7233906,11.9634114
413,1742.0,663802728,46.722332,11.964248
414,1742.0,663802729,46.7223715,11.9638114
415,1742.0,663802730,46.72231,11.9635893
416,1742.0,663802731,46.7222312,11.9632156
417,1742.0,663802732,46.7228611,11.9634943
418,2001.0,663802734,46.7164225,11.9688411
419,1945.0,663802735,46.7165163,11.9672833
420,1911.0,663802736,46.7170832,11.9670592
421,1911.0,663802737,46.7182404,11.9678522
422,1946.0,663802738,46.7173855,11.968868
423,1883.0,663802739,46.7186435,11.9652036
424,1817.0,663802740,46.718758,11.9654992
425,1817.0,663802742,46.7206092,11.9647999
426,1758.0,663802743,46.7228566,11.9651274
427,1742.0,663802744,46.7226755,11.9640755
428,1778.0,663802746,46.7253781,11.9639263
429,1778.0,663802747,46.7252975,11.9637264
430,1778.0,663802748,46.7251466,11.9637105
431,1784.0,663802749,46.7259335,11.9658858
432,1784.0,663802750,46.7255715,11.9651425
433,1784.0,663802752,46.7254508,11.9646926
434,1778.0,663802753,46.7254106,11.9641645
435,1832.0,663802755,46.7270442,11.9688301
436,1847.0,663802756,46.7272728,11.9687981
437,1850.0,663802757,46.7275131,11.968546
438,1850.0,663802758,46.7276714,11.9683425
439,1833.0,663802760,46.726828,11.9673338
440,1833.0,663802761,46.7265317,11.96699
441,1474.0,663803453,46.7110312,11.9514545
442,1229.0,663805004,46.7048822,11.9310785
443,1094.0,880581240,46.7648702,11.9406356
444,1093.0,880581262,46.7643413,11.9247878
445,948.0,880581269,46.7674093,11.9196368
446,1094.0,880581280,46.7647487,11.9410847
447,1093.0,880581309,46.7640378,11.9249316
448,948.0,880581323,46.7670443,11.9193728
449,1045.0,880581358,46.7640062,11.9254362
450,1090.0,880581365,46.7653561,11.9383276
451,996.0,880581376,46.7665542,11.9193614
452,1045.0,880581415,46.7634224,11.9261952
453,1090.0,880581422,46.7653303,11.9384196
454,996.0,880581426,46.7661533,11.9196239
455,1000.0,880581436,46.7646492,11.9243567
456,1090.0,880581483,46.7650874,11.9392442
457,1129.0,880581485,46.7644903,11.9414819
458,996.0,880581494,46.7657087,11.9201896
459,1094.0,880581542,46.7649438,11.9403007
460,992.0,880581554,46.7652601,11.9218979
461,1093.0,880581566,46.7644319,11.9247794
462,1759.0,1098863159,46.7504721,11.9389948
463,1949.0,1098863325,46.7470434,11.9489348
464,1759.0,1098863658,46.7507474,11.9382759
465,1889.0,1098864102,46.7480829,11.9470498
466,1928.0,1100471800,46.7278784,11.9598175
467,1983.0,1100489822,46.7365395,11.9732863
468,2239.0,1221478038,46.7391715,11.9616791
469,2145.0,1221478040,46.7416963,11.9658459
470,1748.0,1221478043,46.7229662,11.9638615
471,2047.0,1221478047,46.7421622,11.9739705
472,1811.0,1221478050,46.7516693,11.9819165
473,1185.0,1221478054,46.7454204,12.0093403
474,2033.0,1221478070,46.7451767,11.9540262
475,1705.0,1221478074,46.745136,11.9877307
476,1128.0,1221478083,46.7643181,11.9434275
477,2072.0,1221478087,46.7323752,11.9619564
478,2050.0,1221478089,46.7466007,11.9710843
479,1742.0,1221478106,46.7219688,11.9642127
480,1546.0,1221478109,46.7132519,11.9523545
